major,minor,name,tls_version,kex_algs,auth_alg,bulk_enc_alg,bulk_enc_alg_sec_len,mac_alg
0xC0,0x56,DHE-DSS-ARIA128-GCM-SHA256,TLSv1.2,DH,DSS,ARIAGCM,128,AEAD
0xC0,0x57,DHE-DSS-ARIA256-GCM-SHA384,TLSv1.2,DH,DSS,ARIAGCM,256,AEAD
0xC0,0x5C,ECDHE-ECDSA-ARIA128-GCM-SHA256,TLSv1.2,ECDH,ECDSA,ARIAGCM,128,AEAD
0xC0,0x5D,ECDHE-ECDSA-ARIA256-GCM-SHA384,TLSv1.2,ECDH,ECDSA,ARIAGCM,256,AEAD
0xC0,0x60,ECDHE-ARIA128-GCM-SHA256,TLSv1.2,ECDH,RSA,ARIAGCM,128,AEAD
0xC0,0x61,ECDHE-ARIA256-GCM-SHA384,TLSv1.2,ECDH,RSA,ARIAGCM,256,AEAD
0xC0,0x6A,PSK-ARIA128-GCM-SHA256,TLSv1.2,PSK,PSK,ARIAGCM,128,AEAD
0xC0,0x6B,PSK-ARIA256-GCM-SHA384,TLSv1.2,PSK,PSK,ARIAGCM,256,AEAD
0xC0,0x6C,DHE-PSK-ARIA128-GCM-SHA256,TLSv1.2,DHEPSK,PSK,ARIAGCM,128,AEAD
0xC0,0x6D,DHE-PSK-ARIA256-GCM-SHA384,TLSv1.2,DHEPSK,PSK,ARIAGCM,256,AEAD
0xC0,0x6E,RSA-PSK-ARIA128-GCM-SHA256,TLSv1.2,RSAPSK,RSA,ARIAGCM,128,AEAD
0xC0,0x6F,RSA-PSK-ARIA256-GCM-SHA384,TLSv1.2,RSAPSK,RSA,ARIAGCM,256,AEAD
0xC0,0x72,ECDHE-ECDSA-CAMELLIA128-SHA256,TLSv1.2,ECDH,ECDSA,Camellia,128,SHA256
0xC0,0x73,ECDHE-ECDSA-CAMELLIA256-SHA384,TLSv1.2,ECDH,ECDSA,Camellia,256,SHA384
0xC0,0x76,ECDHE-RSA-CAMELLIA128-SHA256,TLSv1.2,ECDH,RSA,Camellia,128,SHA256
0xC0,0x77,ECDHE-RSA-CAMELLIA256-SHA384,TLSv1.2,ECDH,RSA,Camellia,256,SHA384
0xC0,0x94,PSK-CAMELLIA128-SHA256,TLSv1,PSK,PSK,Camellia,128,SHA256
0xC0,0x95,PSK-CAMELLIA256-SHA384,TLSv1,PSK,PSK,Camellia,256,SHA384
0xC0,0x96,DHE-PSK-CAMELLIA128-SHA256,TLSv1,DHEPSK,PSK,Camellia,128,SHA256
0xC0,0x97,DHE-PSK-CAMELLIA256-SHA384,TLSv1,DHEPSK,PSK,Camellia,256,SHA384
0xC0,0x98,RSA-PSK-CAMELLIA128-SHA256,TLSv1,RSAPSK,RSA,Camellia,128,SHA256
0xC0,0x99,RSA-PSK-CAMELLIA256-SHA384,TLSv1,RSAPSK,RSA,Camellia,256,SHA384
0xC0,0x9A,ECDHE-PSK-CAMELLIA128-SHA256,TLSv1,ECDHEPSK,PSK,Camellia,128,SHA256
0xC0,0x9B,ECDHE-PSK-CAMELLIA256-SHA384,TLSv1,ECDHEPSK,PSK,Camellia,256,SHA384
0xC0,0x9C,AES128-CCM,TLSv1.2,RSA,RSA,AESCCM,128,AEAD
0xC0,0x9D,AES256-CCM,TLSv1.2,RSA,RSA,AESCCM,256,AEAD
0xC0,0x9E,DHE-RSA-AES128-CCM,TLSv1.2,DH,RSA,AESCCM,128,AEAD
0xC0,0x9F,DHE-RSA-AES256-CCM,TLSv1.2,DH,RSA,AESCCM,256,AEAD
0xC0,0xA0,AES128-CCM8,TLSv1.2,RSA,RSA,AESCCM8,128,AEAD
0xC0,0xA1,AES256-CCM8,TLSv1.2,RSA,RSA,AESCCM8,256,AEAD
0xC0,0xA2,DHE-RSA-AES128-CCM8,TLSv1.2,DH,RSA,AESCCM8,128,AEAD
0xC0,0xA3,DHE-RSA-AES256-CCM8,TLSv1.2,DH,RSA,AESCCM8,256,AEAD
0xC0,0xA4,PSK-AES128-CCM,TLSv1.2,PSK,PSK,AESCCM,128,AEAD
0xC0,0xA5,PSK-AES256-CCM,TLSv1.2,PSK,PSK,AESCCM,256,AEAD
0xC0,0xA6,DHE-PSK-AES128-CCM,TLSv1.2,DHEPSK,PSK,AESCCM,128,AEAD
0xC0,0xA7,DHE-PSK-AES256-CCM,TLSv1.2,DHEPSK,PSK,AESCCM,256,AEAD
0xC0,0xA8,PSK-AES128-CCM8,TLSv1.2,PSK,PSK,AESCCM8,128,AEAD
0xC0,0xA9,PSK-AES256-CCM8,TLSv1.2,PSK,PSK,AESCCM8,256,AEAD
0xC0,0xAA,DHE-PSK-AES128-CCM8,TLSv1.2,DHEPSK,PSK,AESCCM8,128,AEAD
0xC0,0xAB,DHE-PSK-AES256-CCM8,TLSv1.2,DHEPSK,PSK,AESCCM8,256,AEAD
0xC0,0xAC,ECDHE-ECDSA-AES128-CCM,TLSv1.2,ECDH,ECDSA,AESCCM,128,AEAD
0xC0,0xAD,ECDHE-ECDSA-AES256-CCM,TLSv1.2,ECDH,ECDSA,AESCCM,256,AEAD
0xC0,0xAE,ECDHE-ECDSA-AES128-CCM8,TLSv1.2,ECDH,ECDSA,AESCCM8,128,AEAD
0xC0,0xAF,ECDHE-ECDSA-AES256-CCM8,TLSv1.2,ECDH,ECDSA,AESCCM8,256,AEAD
0xCC,0xA8,ECDHE-RSA-CHACHA20-POLY1305,TLSv1.2,ECDH,RSA,CHACHA20/POLY1305,256,AEAD
0xCC,0xA9,ECDHE-ECDSA-CHACHA20-POLY1305,TLSv1.2,ECDH,ECDSA,CHACHA20/POLY1305,256,AEAD
0xCC,0xAA,DHE-RSA-CHACHA20-POLY1305,TLSv1.2,DH,RSA,CHACHA20/POLY1305,256,AEAD
0xCC,0xAB,PSK-CHACHA20-POLY1305,TLSv1.2,PSK,PSK,CHACHA20/POLY1305,256,AEAD
0xCC,0xAC,ECDHE-PSK-CHACHA20-POLY1305,TLSv1.2,ECDHEPSK,PSK,CHACHA20/POLY1305,256,AEAD
0xCC,0xAD,DHE-PSK-CHACHA20-POLY1305,TLSv1.2,DHEPSK,PSK,CHACHA20/POLY1305,256,AEAD
0xCC,0xAE,RSA-PSK-CHACHA20-POLY1305,TLSv1.2,RSAPSK,RSA,CHACHA20/POLY1305,256,AEAD
